ID,window,window_starts,window_ends,method,period,power,lsp_p_value,sig_level,ofac,MESOR,amplitude,amplitude_se,acrophase,acrophase_se,phase_hours,phase_hours_se,adj_r_squared,cosinor_p_value,cos_coeff,sin_coeff,period_hours,autocorrelation_power,peak_lags,peaks,rythm_strength,from,to,alpha
IND 1,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,25.56213017751479,12.60719971481396,2.1537673346106212e-5,6.462423046514936,60,0.0030235765511854034,0.0779497440599437,0.1830986169358812,6.202652719859413,5.3332669480331116e-6,25.23449628165339,2.1697539915189203e-5,0.16143984742689677,1.3793206247646142e-6,0.07769710920298581,-0.006270711324086436,NA,NA,NA,NA,NA,18,30,0.01
IND 1,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,24,NA,NA,NA,NA,3.5104458344189273e-4,0.07588010770203688,0.19012579042517957,1.592037991157715,0.035706821990985814,6.081137181188195,0.1363900133272268,0.15124600000253585,3.252712874365745e-6,-0.0016116985712773047,0.07586298947832243,24 hours,0.04401345215845212,48,0.04401345215845212,0.26971610529524226,18,30,0.01
IND 10,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,26.666666666666664,10.271163174031372,2.2270325521016202e-4,6.462423046514936,60,0.004397473683091941,0.10952495267454887,0.20517796572176503,5.493483776971387,0.019789472941921578,23.315069277336836,0.0839891317304035,0.13109498943479903,1.7209526688275425e-5,0.07711184282318932,-0.07777839645283202,NA,NA,NA,NA,NA,18,30,0.01
IND 10,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,24,NA,NA,NA,NA,2.963369236301129e-4,0.07962354453570508,0.29342243981748756,1.856053797529905,0.07893853539840989,7.089603276512839,0.3015229946181958,0.06246037605417454,0.0038018883902191133,-0.022406425869382476,0.07640589587321961,24 hours,0.19198194850095898,48,0.19198194850095898,1.1764726668168597,18,30,0.01
IND 11,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,27.515923566878982,8.174245462562295,0.001813035701747829,6.462423046514936,60,0.0020194024206823687,0.036616904788778444,0.23969240417001192,4.185268609831822,0.043082959163175893,18.328526940531113,0.18867299839371637,0.09897892114915985,2.264211775361602e-4,-0.018420012531760833,-0.03164649829981573,NA,NA,NA,NA,NA,18,30,0.01
IND 11,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,28,NA,NA,NA,NA,0.0015487384078293495,0.03616184328840587,0.24339994355893063,3.8293059989458573,0.022938367772126857,17.064683393623078,0.10222112928702685,0.09618916680544498,2.8199475621089825e-4,-0.0279422396054986,-0.02295452364663946,28 hours,0.12944753068037818,56,0.12944753068037818,0.7932593810070693,18,30,0.01
IND 12,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,24.61538461538462,9.025808565530696,7.737081998095914e-4,6.462423046514936,60,0.0013996359276217285,0.062481876509081345,0.22263973883054058,0.40768713380250676,0.008838387821962284,1.597179632729499,0.03462579965116328,0.11268764857265512,7.623754918598832e-5,0.05736088059474537,0.024773257143368452,NA,NA,NA,NA,NA,18,30,0.01
IND 12,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,24,NA,NA,NA,NA,1.5216647971283634e-4,0.06074424938180637,0.22870529870428444,0.9572069800873565,0.035551849373287044,3.6562613386312375,0.13579806153161122,0.10659343346616523,1.2394370304009245e-4,0.03497688895173994,0.04966367960810733,24 hours,0.12882654390911918,48,0.12882654390911918,0.7894539505041207,18,30,0.01
IND 13,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,18.620689655172406,12.198694340865003,3.240487985746425e-5,6.462423046514936,60,2.227759907301788e-4,0.06013237036438581,0.18775277511308489,4.20614377090528,0.026997951311524382,12.465221694730005,0.08001044822327752,0.1569133578958548,2.021446758743038e-6,-0.029157996402132434,-0.052590048597171854,NA,NA,NA,NA,NA,18,30,0.01
IND 13,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,18.5,NA,NA,NA,NA,1.8246992401868415e-4,0.06009906428698781,0.18749979345023285,4.331468596414573,0.03076705710112296,12.753430802383823,0.09058949060763491,0.15627165165398182,2.133649289790732e-6,-0.022343332043195642,-0.055791334823420385,18.5 hours,0.08238681399993723,37,0.08238681399993723,0.5048695230664699,18,30,0.01
