ID,window,window_starts,window_ends,method,period,power,lsp_p_value,sig_level,ofac,MESOR,amplitude,amplitude_se,acrophase,acrophase_se,phase_hours,phase_hours_se,adj_r_squared,cosinor_p_value,cos_coeff,sin_coeff,period_hours,autocorrelation_power,peak_lags,peaks,rythm_strength,from,to,alpha
IND 1,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,23.101604278074863,25.722754506857786,4.336962955526194e-11,6.462423046514936,60,-3.9354470699602613e-4,0.32618721749634444,0.11001724533558174,2.498406845530152,0.00588188811178352,9.18597867949547,0.021626141029307076,0.3541098060016391,1.2302760748025406e-14,-0.2610114692663396,0.19563004311565785,NA,NA,NA,NA,NA,18,30,0.01
IND 1,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,23.5,NA,NA,NA,NA,-1.7611335148512303e-4,0.319794715742435,0.11327912944975496,2.148669937518665,0.009967133975778864,8.036328878282662,0.03727848805655297,0.3407273072058681,5.276631049409163e-14,-0.17468596196541214,0.2678683910225382,23.5 hours,0.3601296387343555,47,0.3601296387343555,2.2068880943745763,18,30,0.01
IND 10,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,19.030837004405285,8.24941068024402,0.001681754184295517,6.462423046514936,60,-3.246359458499838e-4,0.03968125736588405,0.23542360063728263,3.3152988568373662,0.0012806417413717551,10.041548845180314,0.003878874018443306,0.1007452968651038,1.969738081732728e-4,-0.03908409314022043,-0.006858268698738871,NA,NA,NA,NA,NA,18,30,0.01
IND 10,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,19.5,NA,NA,NA,NA,-2.4612767527411064e-6,0.03881576261562839,0.24323780934157646,2.958730379800694,0.00235585935758102,9.182483021818106,0.00731145990877217,0.09376269470285514,3.4112454211364325e-4,-0.038168596399562625,0.007058447160679888,19.5 hours,0.18905891396826155,39,0.18905891396826155,1.1585602002608535,18,30,0.01
IND 11,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,19.50338600451467,3.504519305638571,0.1782838649459072,6.462423046514936,60,-1.0612091106184963e-4,0.034313703976803875,0.3697532541572688,2.664623146665252,0.030579899661371278,8.271150896439975,0.09492185220027678,0.035569443242900456,0.02831221280078804,-0.03048396061036774,0.01575304497909132,NA,NA,NA,NA,NA,18,30,0.01
IND 11,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,19,NA,NA,NA,NA,1.417003559881644e-4,0.03218273857073131,0.39334227206874084,3.426381869341856,0.010894518648599664,10.361186617097896,0.03294441341509797,0.030429722028947337,0.04129194801343195,-0.03088644666143508,-0.009041906576732744,19 hours,0.09658659274074013,38,0.09658659274074013,0.5918863061226034,18,30,0.01
IND 12,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,22.558746736292427,12.06108366898871,3.718552959488506e-5,6.462423046514936,60,0.0038947991395264408,0.07875949090187703,0.18758518613505085,4.264501243531968,0.028521496705245883,15.310992562882904,0.10240175790748024,0.15519494869182804,2.3358618374113856e-6,-0.034107788641525444,-0.07099095830532139,NA,NA,NA,NA,NA,18,30,0.01
IND 12,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,30,0.01
IND 13,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,22.73684210526316,17.284321742808004,2.0042435652697455e-7,6.462423046514936,60,0.002660154579018469,0.06765059546431547,0.14960248302443108,3.7985572894740627,0.007862201829471362,13.745766374243214,0.02845079889528908,0.22998794333712402,3.2363822380610105e-9,-0.05356909846424984,-0.041315308983522855,NA,NA,NA,NA,NA,18,30,0.01
IND 13,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,18.5,NA,NA,NA,NA,8.696739026246274e-5,0.029898685442320123,0.3767584246282784,4.193327965236117,0.10839604680959268,12.346694162946939,0.3191576832352922,0.03430302391511719,0.03107687837574482,-0.014831692884461078,-0.0259605908515163,18.5 hours,0.09189442838580796,37,0.09189442838580796,0.5631325448711256,18,30,0.01
IND 14,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,24.827586206896555,12.850816752337973,1.6880964275617827e-5,6.462423046514936,60,-3.349258857257887e-4,0.0395693878163895,0.17908426727242666,1.7088404213449853,0.03258702590847829,6.752368552029309,0.12876545182339819,0.16788579746386567,7.974874737471435e-7,-0.005444988349366348,0.03919296561934423,NA,NA,NA,NA,NA,18,30,0.01
IND 14,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,28.5,NA,NA,NA,NA,5.110946432673885e-4,0.027543919680253735,0.27483917525918405,4.303579469572976,0.06206149328213658,19.520674448783076,0.28150571279822,0.07306953703045915,0.0016946637185714145,-0.010949182471497827,-0.025274155071102058,28.5 hours,0.032746572573295926,57,0.032746572573295926,0.2006722395789459,18,30,0.01
IND 2,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,28.70431893687708,6.719975009354129,0.007762256491175987,6.462423046514936,60,6.128113881058094e-4,0.062302718460737434,0.262576830001043,4.095772427914125,0.04419031962143466,18.711267027151862,0.20188056953958985,0.0803197297087237,9.704055352545543e-4,-0.03602829921250011,-0.05082903091199435,NA,NA,NA,NA,NA,18,30,0.01
